Model,Price,Year,Mileage,Fuel Type
Hyundai Santa Fe Santa Fe 2.2 CRDI Premium 4WD,"CHF 8,499",02.2014,"184,000 km",Diesel
Renault Clio Clio 1.2 16V T Intens,"CHF 8,900",04.2018,"120,000 km",Petrol
Mercedes-Benz Sprinter Sprinter 314 CDI Standard FWD,"CHF 26,500",09.2019,"91,500 km",Diesel
Alfa Romeo Giulia Giulia 2.2 JTDM Super,"CHF 12,800",01.2017,"175,000 km",Diesel
Opel Corsa Corsa 1.2 TP Elegance,"CHF 16,300",07.2021,"39,200 km",Petrol
VW Caddy Caddy 1.4 TGI Comfort DSG,"CHF 17,900",01.2019,"93,331 km",Natural gas/petrol
Mercedes-Benz CLA 45 AMG CLA Shooting Brake 45 AMG 4Matic Speedshift,"CHF 33,500",01.2019,"95,000 km",Petrol
Mercedes-Benz CLA 35 AMG CLA Shooting Brake 35 AMG 4Matic 8G-DCT,"CHF 47,900",06.2023,"15,000 km",Petrol
Seat Leon Leon ST 1.5 eTSI mHEV DSG FR,"CHF 30,900",12.2023,"6,000 km",Petrol/Electric
RENAULT TRUCKS Maxity Maxity 130.45 Eco,"CHF 8,400",01.2013,"187,490 km",Diesel
VW Passat Passat Variant 2.0 TDI BMT Comfortline DSG,"CHF 5,900",08.2012,"268,076 km",Diesel
BMW 525 525d xDrive Touring Steptronic,"CHF 7,980",02.2013,"216,000 km",Diesel
VW Amarok Amarok 2.0 BiTDI Black Edition 4Motion permanent A,"CHF 33,000",08.2016,"55,000 km",Diesel
Audi A6 A6 Avant 45 TFSI Sport S-tronic,"CHF 27,890",07.2019,"99,990 km",Petrol/Electric
KIA Picanto Picanto 1.2 CVVT Swiss Champion,"CHF 8,200",09.2016,"96,300 km",Petrol
Audi RS Q3 RS Q3 Sportback quattro S tronic,"CHF 65,500",07.2023,"11,150 km",Petrol
Porsche Carrera S 911 Cabrio Carrera S,"CHF 47,900",07.2005,"72,500 km",Petrol
BMW M550 M550d xDrive Steptronic,"CHF 61,900",03.2021,"33,500 km",Diesel
Suzuki Ignis Ignis 1.2i Generation Top Hybrid,"CHF 16,990",10.2021,"13,500 km",Petrol/Electric
Mercedes-Benz A 35 AMG A 35 AMG 4Matic Speedshift,"CHF 35,900",03.2021,"24,000 km",Petrol
Seat Arona Arona 1.0 TGI CNG Style,"CHF 11,900",04.2019,"68,999 km",Natural gas/petrol
Fiat 695 Abarth 695 1.4 16V Turbo Abarth Turismo,"CHF 29,890",05.2023,"4,200 km",Petrol
Honda HR-V HR-V 1.5i-VTEC Elegance CVT,"CHF 20,550",03.2021,"62,700 km",Petrol
Skoda Rapid Rapid Spaceback 1.4 TSI Monte Carlo DSG,"CHF 12,500",06.2016,"120,000 km",Petrol
Renault Austral Austral 1.2 HEV 200 Techno Esprit Alpine A,"CHF 33,500",01.2023,"39,000 km",Petrol/Electric
Mercedes-Benz V 220 V 220 d Trend lang 4Matic 9G-Tronic,"CHF 27,500",08.2019,"257,000 km",Diesel
Ford Transit Connect Transit Connect Van T210 1.0 EcoBoost Trend,"CHF 17,800",01.2021,"19,850 km",Petrol
KIA Sportage Sportage 1.6 T-GDi Style GT Line 4WD Automat,"CHF 25,490",08.2019,"35,450 km",Petrol
VW Touareg Touareg 4.2 TDI Tiptronic,"CHF 25,850",03.2015,"173,000 km",Diesel
Audi S1 S1 Sportback 2.0 TFSI quattro,"CHF 13,500",03.2015,"202,000 km",Petrol
Land Rover Range Rover Evoque Range Rover Evoque D 180 S  AT9,"CHF 32,500",06.2020,"59,000 km",Diesel/Electric
Mercedes-Benz C 250 C 250 AMG Line 7G-Tronic,"CHF 25,800",07.2015,"43,000 km",Petrol
Lexus LS LS 430 Automatic,"CHF 22,900",08.2005,"85,900 km",Petrol
Audi SQ5 SQ5 3.0 TDI quattro tiptronic,"CHF 27,700",06.2016,"162,000 km",Diesel
Seat Leon Leon 1.4 TSI FR,"CHF 7,900",03.2014,"172,700 km",Petrol
VW Tiguan Tiguan 2.0 TSI R-Line Design 4Motion DSG,"CHF 14,800",07.2013,"94,300 km",Petrol
